tax_rate,State
0.675,Alabama
2.0,Alaska
2.0,Arizona
1.15,Arkansas
2.87,California
1.0,Colorado
4.35,Connecticut
2.0,Delaware
1.0,Florida
0.37,Georgia
3.0,Hawaii
0.57,Idaho
2.0,Illinois
0.995,Indiana
1.36,Iowa
1.0,Kansas
1.0,Kentucky
1.0,Louisiana
2.0,Maine
3.75,Maryland
3.5,Massachusetts
2.0,Michigan
3.0,Minnesota
0.6,Mississippi
0.17,Missouri
1.7,Montana
0.6,Nebraska
1.0,Nevada
1.7,New Hampshire
2.7,New Jersey
2.0,New Mexico
4.35,New York
0.45,North Carolina
0.0,North Dakota
1.6,Ohio
2.0,Oklahoma
3.0,Oregon
2.6,Pennsylvania
4.25,Rhode Island
0.57,South Carolina
1.5,South Dakota
0.6,Tennessee
1.0,Texas
1.7,Utah
3.0,Vermont
0.6,Virginia
3.025,Washington
1.0,West Virginia
2.5,Wisconsin
0.6,Wyoming
4.5,District of Columbia
